student_id,skills,experience_years,course_grades,projects_completed,extracurriculars,job_offer
1,Python;Data Analysis;SQL,3,75.26,9,0,1
2,Java,4,74.25,6,2,1
3,Data Analysis,2,74.89,4,3,0
4,Data Analysis,4,72.73,2,3,1
5,Machine Learning;Python;C++,4,84.85,1,4,0
6,Python,1,66.57,7,3,1
7,Java,2,93.84,1,3,0
8,Machine Learning,2,92.5,7,2,0
9,Python;Machine Learning;Java,2,79.06,4,1,0
10,Data Analysis;Machine Learning;C++,4,94.11,8,3,1
11,C++,3,69.89,3,1,0
12,SQL;Python;Java,2,60.7,7,0,0
13,C++;SQL;Machine Learning,5,84.77,6,3,0
14,Java,4,78.32,7,0,0
15,Python;Data Analysis,1,82.69,4,0,1
16,Python;SQL,3,95.97,1,4,1
17,Machine Learning;SQL,5,98.8,6,1,0
18,Data Analysis,5,85.38,2,1,1
19,Machine Learning;Python,1,90.56,9,4,1
20,Python;Machine Learning,3,63.35,9,2,0
21,Data Analysis;Machine Learning,4,66.43,9,4,0
22,Machine Learning;Java,0,89.33,9,4,1
23,Python;Data Analysis;Java,3,77.25,1,4,1
24,Python;Java,1,77.84,2,0,1
25,C++,5,72.34,3,1,1
26,C++;SQL,4,84.29,9,2,1
27,SQL,3,67.41,6,3,1
28,Java;SQL,0,85.08,9,3,0
29,Data Analysis;Python;Java,0,66.95,0,3,1
30,Data Analysis;Java;Machine Learning,2,62.55,5,2,0
31,C++;SQL,2,73.21,5,3,0
32,Data Analysis;Machine Learning;Java,1,69.25,7,2,1
33,SQL;Python;Java,3,95.56,1,3,1
34,SQL,3,62.2,1,3,0
35,SQL;Python,5,67.06,0,2,1
36,Machine Learning,5,81.95,2,1,1
37,SQL;Java;C++,5,79.24,6,2,0
38,Data Analysis;C++,2,61.83,7,2,1
39,SQL,3,60.29,6,4,0
40,Java,3,99.52,8,0,0
41,Machine Learning;Data Analysis;SQL,0,86.35,7,0,1
42,Machine Learning;C++;Data Analysis,2,74.62,7,1,0
43,Java;Data Analysis,4,78.82,1,1,0
44,C++;Python;Machine Learning,2,70.66,0,1,0
45,Java,4,73.79,5,0,1
46,Java;C++;Python,0,85.96,6,1,1
47,C++;Machine Learning,1,95.31,5,1,1
48,Machine Learning;SQL,3,67.37,6,2,1
49,Python;Data Analysis;SQL,0,93.61,7,2,0
50,SQL;Python;Data Analysis,3,64.86,1,0,0
51,Java;C++,5,68.6,0,2,1
52,Data Analysis,1,61.49,9,1,0
53,SQL;Machine Learning;Java,1,65.63,7,2,0
54,Python;SQL;Java,0,96.69,7,4,1
55,SQL,1,78.38,7,2,1
56,Machine Learning,4,63.11,9,0,1
57,Python;Machine Learning;SQL,1,98.39,6,1,0
58,Python;Data Analysis,3,95.16,1,1,1
59,SQL;Java,3,90.19,3,0,1
60,Java,3,97.34,8,2,0
61,Python;Data Analysis;C++,3,68.81,7,1,1
62,Machine Learning,4,93.45,3,1,1
63,Java,2,87.6,7,4,0
64,C++;Machine Learning;Java,5,94.79,9,0,1
65,Machine Learning;Data Analysis,0,91.88,5,2,1
66,Java;Machine Learning,3,73.86,8,2,0
67,Data Analysis;Java;SQL,1,90.98,0,1,1
68,Data Analysis;SQL,3,70.5,5,3,1
69,Machine Learning;C++,1,73.14,3,4,0
70,Java,5,64.32,2,4,0
71,Python,5,97.4,4,4,1
72,Python;Machine Learning,5,71.64,9,1,0
73,Java;Machine Learning;Data Analysis,1,80.82,7,0,0
74,Python,3,75.65,9,0,1
75,Data Analysis;Python;Java,5,98.4,5,4,0
76,Python,4,73.4,0,3,1
77,Python;Machine Learning,1,91.14,5,3,1
78,SQL,1,94.22,6,2,0
79,C++;Java;Machine Learning,3,77.42,5,3,0
80,Machine Learning;Data Analysis;C++,1,75.13,2,4,0
